Date,Country,App,Platform,Ad Network,Daily Users
20/10/2018,MU,Blast!,android,Organic,2
18/10/2018,IN,T-Rex,android,Organic,3
18/10/2018,RE,Blast!,ios,Ad Network 1,12
20/10/2018,YE,Blast!,ios,Ad Network 1,2
17/10/2018,KW,T-Rex,ios,Organic,2
19/10/2018,DE,T-Rex,android,Organic,3
18/10/2018,UA,Carz,ios,Organic,1
22/10/2018,AF,Blast!,ios,Ad Network 2,1
17/10/2018,MN,Blast!,ios,Ad Network 1,39
19/10/2018,PY,Blast!,android,Organic,1
17/10/2018,AR,Blast!,android,Organic,31
17/10/2018,CR,Blast!,ios,Organic,8
22/10/2018,KW,Blast!,ios,Ad Network 1,16
16/10/2018,DK,Blast!,android,Organic,53
22/10/2018,RU,Blast!,android,Organic,69
18/10/2018,BD,Blast!,ios,Ad Network 1,9
20/10/2018,BR,T-Rex,ios,Organic,5
16/10/2018,IS,Blast!,android,Organic,1
22/10/2018,CA,Carz,android,Ad Network 1,4
19/10/2018,NL,Blast!,ios,Ad Network 3,3
22/10/2018,CD,Blast!,ios,Ad Network 1,2
16/10/2018,TR,T-Rex,android,Organic,1
22/10/2018,BJ,Blast!,ios,Ad Network 1,1
20/10/2018,MA,Blast!,android,Organic,5
17/10/2018,PT,Blast!,ios,Ad Network 1,47
16/10/2018,EG,Blast!,ios,Organic,16
18/10/2018,GR,Carz,ios,Ad Network 1,3
21/10/2018,IE,T-Rex,ios,Organic,3
20/10/2018,HK,Blast!,android,Organic,12
20/10/2018,GB,Carz,ios,Ad Network 1,2
22/10/2018,NP,Carz,ios,Organic,1
22/10/2018,SN,Blast!,ios,Ad Network 1,2
22/10/2018,BF,Blast!,ios,Ad Network 1,1
17/10/2018,GR,T-Rex,ios,Organic,2
17/10/2018,RE,Blast!,android,Organic,2
21/10/2018,LB,Blast!,ios,Ad Network 1,23
19/10/2018,BS,Blast!,ios,Ad Network 1,4
20/10/2018,DK,Blast!,android,Organic,38
16/10/2018,GU,Blast!,ios,Ad Network 1,5
17/10/2018,PE,Blast!,android,Organic,4
20/10/2018,VE,Blast!,ios,Organic,7
19/10/2018,GB,Blast!,ios,Ad Network 6,2
19/10/2018,BR,Carz,ios,Organic,389
21/10/2018,PF,Blast!,ios,Ad Network 1,3
20/10/2018,CN,Blast!,ios,Organic,441
16/10/2018,VN,T-Rex,ios,Organic,5
19/10/2018,JO,Blast!,android,Organic,4
16/10/2018,TW,T-Rex,ios,Organic,3
21/10/2018,UG,Blast!,android,Organic,1
19/10/2018,TW,Blast!,ios,Organic,116
20/10/2018,SK,Blast!,android,Organic,2
16/10/2018,MT,Blast!,ios,Ad Network 1,5
18/10/2018,ZA,Carz,ios,Ad Network 1,1
21/10/2018,PS,Blast!,ios,Ad Network 1,10
18/10/2018,IM,Blast!,ios,Organic,3
17/10/2018,ME,Blast!,ios,Ad Network 1,5
20/10/2018,AE,T-Rex,android,Organic,1
20/10/2018,PH,Bally Ball,android,Organic,1
22/10/2018,AR,T-Rex,android,Organic,3
17/10/2018,BW,Blast!,ios,Ad Network 1,1
21/10/2018,UY,Blast!,android,Organic,4
16/10/2018,OM,Blast!,ios,Ad Network 1,8
20/10/2018,GT,Blast!,android,Organic,8
20/10/2018,NL,Blast!,ios,Organic,83
17/10/2018,ID,Carz,ios,Ad Network 1,1
20/10/2018,JP,Bally Ball,ios,Organic,1
17/10/2018,IQ,Bally Ball,ios,Organic,2
16/10/2018,ME,Blast!,ios,Organic,1
20/10/2018,NL,Screwed,android,Organic,27
22/10/2018,GR,Carz,android,Ad Network 1,1
17/10/2018,CN,T-Rex,ios,Organic,15
19/10/2018,UG,Blast!,ios,Ad Network 1,1
16/10/2018,AR,Carz,android,Ad Network 1,2828
20/10/2018,HR,Blast!,android,Organic,6
16/10/2018,VN,Carz,ios,Ad Network 1,866
20/10/2018,SA,Blast!,ios,Organic,91
19/10/2018,CN,Blast!,ios,Ad Network 1,10
17/10/2018,MA,Blast!,ios,Ad Network 1,39
17/10/2018,JP,T-Rex,android,Organic,3
22/10/2018,PT,T-Rex,android,Organic,4
17/10/2018,SI,Blast!,ios,Ad Network 1,17
20/10/2018,GR,Carz,ios,Ad Network 1,2
21/10/2018,un,Blast!,ios,Ad Network 1,3
22/10/2018,RE,Blast!,android,Organic,1
17/10/2018,GR,Blast!,android,Organic,8
20/10/2018,BS,Carz,ios,Organic,1
21/10/2018,JP,Carz,ios,Ad Network 1,1
20/10/2018,CN,Screwed,ios,Organic,1
20/10/2018,KH,T-Rex,ios,Organic,1
22/10/2018,BE,T-Rex,ios,Organic,3
19/10/2018,US,Blast!,ios,Ad Network 4,1
20/10/2018,US,T-Rex,android,Organic,223
21/10/2018,CI,Blast!,ios,Organic,2
21/10/2018,BS,Blast!,ios,Ad Network 1,9
17/10/2018,KZ,Blast!,ios,Ad Network 1,55
17/10/2018,JP,Blast!,android,Organic,34
16/10/2018,CN,Blast!,ios,Organic,90
22/10/2018,ID,Blast!,ios,Ad Network 1,56
16/10/2018,SN,Blast!,ios,Ad Network 1,4
20/10/2018,AE,Blast!,ios,Organic,36
21/10/2018,RS,T-Rex,ios,Organic,1
22/10/2018,AF,Blast!,ios,Ad Network 1,3
19/10/2018,GR,T-Rex,ios,Ad Network 6,1
22/10/2018,BR,Screwed,ios,Organic,238
18/10/2018,AU,T-Rex,ios,Ad Network 1,4
22/10/2018,GB,Bally Ball,ios,Ad Network 1,5
22/10/2018,JP,Blast!,android,Organic,13
22/10/2018,CA,T-Rex,ios,Ad Network 3,1
19/10/2018,JM,Blast!,ios,Ad Network 1,7
18/10/2018,MN,Blast!,android,Organic,1
21/10/2018,CN,Bally Ball,ios,Organic,21
16/10/2018,DZ,Blast!,ios,Ad Network 1,31
17/10/2018,KH,Blast!,ios,Ad Network 1,29
18/10/2018,ES,Blast!,ios,Organic,86
22/10/2018,CH,Blast!,android,Organic,9
22/10/2018,MX,Blast!,android,Organic,41
20/10/2018,MX,Blast!,ios,Ad Network 6,1
21/10/2018,VN,T-Rex,ios,Ad Network 3,3
20/10/2018,US,Blast!,android,Organic,1302
20/10/2018,CA,Blast!,ios,Organic,136
21/10/2018,VN,Blast!,ios,Ad Network 3,2
20/10/2018,PY,Blast!,ios,Ad Network 1,8
17/10/2018,US,Carz,ios,Organic,353
20/10/2018,PK,Bally Ball,ios,Organic,1
21/10/2018,SR,Blast!,ios,Organic,1
16/10/2018,PL,T-Rex,ios,Organic,1
19/10/2018,HN,Blast!,ios,Ad Network 1,13
20/10/2018,GR,T-Rex,android,Organic,1
19/10/2018,LY,Blast!,ios,Ad Network 1,18
20/10/2018,MT,Blast!,ios,Ad Network 1,4
22/10/2018,DZ,Blast!,android,Organic,4
16/10/2018,MN,Blast!,android,Organic,6
19/10/2018,DE,Blast!,ios,Ad Network 3,1
19/10/2018,AR,Carz,android,Ad Network 1,1013
16/10/2018,DE,Carz,ios,Ad Network 1,2
17/10/2018,GU,Blast!,ios,Ad Network 1,6
21/10/2018,CN,Blast!,android,Organic,2
18/10/2018,FR,Carz,ios,Organic,1
19/10/2018,AT,Blast!,ios,Ad Network 1,27
19/10/2018,SA,Blast!,ios,Organic,105
16/10/2018,CZ,Blast!,android,Organic,11
21/10/2018,MK,T-Rex,android,Organic,1
21/10/2018,TR,Screwed,ios,Organic,2
22/10/2018,CO,Blast!,android,Organic,13
20/10/2018,CA,Carz,ios,Organic,1
20/10/2018,PY,Blast!,android,Organic,2
21/10/2018,HT,Bally Ball,ios,Ad Network 1,1
20/10/2018,LA,Blast!,ios,Ad Network 1,9
21/10/2018,AR,Carz,android,Ad Network 1,788
20/10/2018,CA,Blast!,ios,Ad Network 6,2
17/10/2018,LK,Blast!,ios,Ad Network 1,7
17/10/2018,BS,Blast!,android,Organic,1
22/10/2018,CI,Blast!,ios,Ad Network 1,8
16/10/2018,SC,Blast!,ios,Organic,1
19/10/2018,MU,Blast!,android,Organic,1
16/10/2018,IL,Blast!,ios,Organic,21
17/10/2018,DE,T-Rex,android,Organic,2
22/10/2018,BR,Blast!,android,Organic,63
17/10/2018,LY,Blast!,ios,Organic,2
19/10/2018,SV,Blast!,ios,Organic,1
22/10/2018,CN,Carz,ios,Organic,1
21/10/2018,JO,Blast!,ios,Ad Network 1,23
17/10/2018,JP,Carz,ios,Organic,3
20/10/2018,SA,Blast!,android,Organic,4
16/10/2018,CA,Carz,android,Ad Network 1,10
22/10/2018,BR,Bally Ball,ios,Ad Network 1,2
20/10/2018,CZ,T-Rex,android,Organic,1
16/10/2018,GF,Carz,android,Ad Network 1,1
16/10/2018,GR,Blast!,ios,Organic,9
16/10/2018,BE,Blast!,ios,Ad Network 1,117
21/10/2018,CH,T-Rex,ios,Organic,9
18/10/2018,PR,Blast!,android,Organic,18
16/10/2018,SY,Bally Ball,android,Organic,1
16/10/2018,AU,Blast!,android,Organic,15
21/10/2018,AT,Blast!,ios,Ad Network 1,16
19/10/2018,CL,Carz,ios,Organic,1
16/10/2018,IN,Bally Ball,ios,Organic,2
17/10/2018,UA,Blast!,ios,Organic,55
17/10/2018,SA,Carz,ios,Organic,2
22/10/2018,CH,T-Rex,android,Organic,6
18/10/2018,IR,Blast!,ios,Ad Network 3,4
22/10/2018,BR,Blast!,ios,Organic,87
19/10/2018,US,Carz,android,Ad Network 1,495
19/10/2018,MQ,Blast!,ios,Ad Network 1,3
21/10/2018,TZ,Blast!,android,Organic,1
18/10/2018,UY,Blast!,ios,Ad Network 1,15
17/10/2018,MY,T-Rex,ios,Organic,4
22/10/2018,KG,Blast!,ios,Ad Network 1,5
21/10/2018,CO,Blast!,ios,Organic,36
22/10/2018,MM,Blast!,ios,Organic,4
19/10/2018,ES,Blast!,android,Organic,49
19/10/2018,KH,Blast!,ios,Ad Network 1,41
16/10/2018,OM,Blast!,ios,Organic,1
21/10/2018,PG,Blast!,ios,Ad Network 1,1
19/10/2018,BO,Blast!,ios,Ad Network 1,14
20/10/2018,TT,Blast!,ios,Ad Network 1,5
18/10/2018,SD,Blast!,ios,Organic,1
16/10/2018,MX,Carz,ios,Ad Network 1,1
18/10/2018,ZA,Blast!,ios,Ad Network 1,37
19/10/2018,GU,Blast!,ios,Ad Network 1,9
20/10/2018,SG,Blast!,ios,Organic,13
19/10/2018,DK,T-Rex,android,Organic,3
18/10/2018,DK,Blast!,ios,Organic,68
19/10/2018,RU,Blast!,ios,Ad Network 3,1
19/10/2018,MA,Blast!,ios,Ad Network 1,37
21/10/2018,AL,Blast!,ios,Organic,13
20/10/2018,CW,Blast!,ios,Ad Network 1,1
16/10/2018,IR,Carz,ios,Ad Network 1,3
17/10/2018,IR,Blast!,ios,Ad Network 3,1
22/10/2018,RE,Blast!,ios,Organic,3
20/10/2018,SA,T-Rex,ios,Organic,4
19/10/2018,AM,Bally Ball,ios,Organic,1
22/10/2018,DE,Blast!,ios,Organic,71
22/10/2018,MY,Blast!,ios,Ad Network 1,51
20/10/2018,CY,Blast!,android,Organic,2
16/10/2018,GR,Carz,android,Ad Network 1,1
19/10/2018,BE,Blast!,ios,Ad Network 1,94
21/10/2018,SG,Blast!,ios,Organic,16
20/10/2018,PA,Blast!,ios,Organic,5
20/10/2018,AR,Screwed,ios,Organic,54
16/10/2018,HK,Carz,android,Organic,1
22/10/2018,DO,Carz,android,Ad Network 1,1
19/10/2018,VN,Bally Ball,ios,Organic,1
22/10/2018,PE,Carz,android,Organic,1
21/10/2018,BY,Screwed,android,Organic,1
19/10/2018,NL,Blast!,ios,Organic,81
21/10/2018,MK,Blast!,ios,Organic,4
20/10/2018,VI,Blast!,ios,Ad Network 3,1
21/10/2018,NL,Screwed,android,Organic,24
16/10/2018,IN,Carz,android,Organic,5
16/10/2018,JO,Blast!,ios,Ad Network 1,26
16/10/2018,TH,Blast!,ios,Organic,48
18/10/2018,VN,Blast!,android,Organic,96
22/10/2018,DE,Bally Ball,ios,Ad Network 1,2
18/10/2018,GE,Blast!,android,Organic,5
22/10/2018,US,T-Rex,ios,Ad Network 1,81
20/10/2018,JP,Blast!,ios,Organic,164
18/10/2018,PT,Carz,android,Organic,1
17/10/2018,LA,Blast!,ios,Ad Network 1,9
22/10/2018,GR,Blast!,ios,Ad Network 1,18
21/10/2018,KH,T-Rex,ios,Organic,3
18/10/2018,AU,Carz,ios,Organic,1
16/10/2018,GB,T-Rex,ios,Organic,58
19/10/2018,US,T-Rex,ios,Ad Network 2,4
22/10/2018,SK,Blast!,android,Organic,4
18/10/2018,US,Screwed,android,Organic,6
16/10/2018,QA,T-Rex,ios,Organic,1
21/10/2018,MQ,Bally Ball,android,Organic,1
16/10/2018,GB,Carz,android,Ad Network 1,4
21/10/2018,IQ,Carz,ios,Organic,3
18/10/2018,IT,Blast!,android,Organic,55
21/10/2018,AG,Blast!,ios,Ad Network 1,3
20/10/2018,CA,T-Rex,ios,Organic,109
18/10/2018,PA,Blast!,ios,Ad Network 1,16
17/10/2018,DZ,Blast!,android,Organic,3
16/10/2018,US,T-Rex,ios,Ad Network 2,3
16/10/2018,BE,T-Rex,ios,Organic,1
21/10/2018,US,Screwed,android,Organic,600
21/10/2018,UY,T-Rex,ios,Organic,1
19/10/2018,GR,Blast!,ios,Ad Network 1,23
21/10/2018,MQ,Blast!,ios,Organic,1
18/10/2018,AU,T-Rex,ios,Organic,88
17/10/2018,TH,Carz,ios,Ad Network 1,1
21/10/2018,AL,Blast!,ios,Ad Network 1,39
21/10/2018,DE,Blast!,android,Organic,107
21/10/2018,GR,Carz,ios,Organic,2
19/10/2018,AM,Blast!,android,Organic,1
21/10/2018,CO,Carz,ios,Organic,1
17/10/2018,KY,Bally Ball,ios,Organic,1
20/10/2018,PK,Blast!,ios,Ad Network 1,45
17/10/2018,IR,Blast!,ios,Organic,36
22/10/2018,EC,Blast!,ios,Ad Network 1,44
21/10/2018,PR,Blast!,android,Organic,4
20/10/2018,IQ,T-Rex,android,Organic,1
20/10/2018,CY,Blast!,ios,Ad Network 1,7
20/10/2018,GB,Screwed,ios,Organic,3
19/10/2018,BD,Blast!,ios,Organic,2
17/10/2018,ID,Blast!,ios,Ad Network 1,83
22/10/2018,GB,T-Rex,android,Organic,8
21/10/2018,IQ,Bally Ball,ios,Organic,2
22/10/2018,HR,Blast!,ios,Ad Network 1,4
19/10/2018,SE,Screwed,android,Organic,1
20/10/2018,AT,Blast!,android,Organic,9
17/10/2018,ID,Blast!,android,Organic,39
19/10/2018,KY,Blast!,ios,Ad Network 1,3
20/10/2018,BR,Carz,android,Ad Network 1,750
21/10/2018,KR,Screwed,ios,Organic,1
16/10/2018,CA,Carz,android,Organic,1
22/10/2018,BM,Blast!,ios,Organic,1
21/10/2018,YE,Blast!,ios,Ad Network 1,1
17/10/2018,JO,Blast!,ios,Ad Network 1,24
21/10/2018,CR,Blast!,ios,Ad Network 2,1
20/10/2018,RU,T-Rex,android,Organic,8
16/10/2018,VN,Bally Ball,ios,Organic,1
18/10/2018,IE,Blast!,ios,Ad Network 1,19
19/10/2018,CN,T-Rex,ios,Organic,76
18/10/2018,NZ,Blast!,ios,Ad Network 1,20
17/10/2018,SG,Blast!,ios,Ad Network 3,1
18/10/2018,GP,Blast!,ios,Organic,2
19/10/2018,FR,Carz,ios,Organic,2
18/10/2018,JP,Carz,ios,Organic,2
21/10/2018,AF,Blast!,ios,Ad Network 1,4
16/10/2018,GN,Blast!,ios,Ad Network 1,1
21/10/2018,BH,Blast!,ios,Organic,1
21/10/2018,LV,T-Rex,android,Organic,3
16/10/2018,IT,Carz,ios,Ad Network 1,1
20/10/2018,TR,Screwed,ios,Organic,1
16/10/2018,MY,Blast!,ios,Ad Network 1,69
17/10/2018,VN,Carz,ios,Ad Network 1,862
16/10/2018,UZ,Blast!,android,Organic,1
21/10/2018,GR,T-Rex,ios,Organic,1
17/10/2018,ZA,Blast!,ios,Ad Network 1,39
21/10/2018,NI,Blast!,android,Organic,1
16/10/2018,DK,T-Rex,ios,Organic,45
17/10/2018,CR,Blast!,android,Organic,8
19/10/2018,ML,Blast!,android,Organic,1
18/10/2018,CA,Blast!,ios,Ad Network 2,5
19/10/2018,AU,Blast!,android,Organic,22
19/10/2018,HN,Blast!,android,Organic,1
19/10/2018,PR,Carz,ios,Ad Network 1,2
19/10/2018,SX,Blast!,ios,Ad Network 1,1
16/10/2018,RU,Carz,ios,Ad Network 1,1
18/10/2018,BM,Blast!,ios,Organic,2
20/10/2018,PT,Blast!,android,Organic,9
18/10/2018,BR,Carz,ios,Organic,375
21/10/2018,SV,Blast!,ios,Ad Network 1,14
18/10/2018,BG,Blast!,android,Organic,5
22/10/2018,IE,Blast!,ios,Ad Network 1,10
17/10/2018,CA,Bally Ball,ios,Organic,141
21/10/2018,AT,Blast!,ios,Organic,11
16/10/2018,MY,T-Rex,ios,Organic,3
22/10/2018,MN,Blast!,ios,Ad Network 1,48
17/10/2018,IQ,Blast!,ios,Ad Network 1,75
22/10/2018,BE,Blast!,android,Organic,13
20/10/2018,KR,Bally Ball,ios,Ad Network 1,1
21/10/2018,BG,Blast!,ios,Ad Network 1,23
17/10/2018,DK,Blast!,android,Organic,51
22/10/2018,PH,Blast!,android,Organic,43
21/10/2018,KR,Bally Ball,ios,Ad Network 1,1
20/10/2018,IQ,Blast!,android,Organic,7
17/10/2018,PF,Blast!,ios,Organic,3
19/10/2018,MV,Blast!,ios,Ad Network 1,1
22/10/2018,US,Blast!,ios,Ad Network 3,2479
21/10/2018,PE,Bally Ball,ios,Organic,1
16/10/2018,US,T-Rex,ios,Ad Network 5,6
17/10/2018,AR,Carz,android,Organic,350
19/10/2018,GT,Blast!,ios,Organic,8
21/10/2018,PL,Bally Ball,ios,Ad Network 1,1
20/10/2018,JP,Carz,ios,Ad Network 1,2
16/10/2018,KW,T-Rex,ios,Organic,1
22/10/2018,VN,Carz,android,Organic,60
18/10/2018,NL,Carz,android,Ad Network 1,25
17/10/2018,CR,Blast!,ios,Ad Network 1,39
21/10/2018,BA,Blast!,ios,Ad Network 1,7
19/10/2018,LA,Blast!,ios,Ad Network 1,5
20/10/2018,GY,Blast!,ios,Ad Network 1,1
16/10/2018,NC,Blast!,ios,Ad Network 1,3
19/10/2018,JP,T-Rex,android,Organic,2
18/10/2018,SN,Blast!,ios,Organic,1
17/10/2018,GR,Blast!,ios,Ad Network 3,11
22/10/2018,PY,Blast!,android,Organic,2
21/10/2018,PA,T-Rex,ios,Organic,1
16/10/2018,PE,Blast!,ios,Organic,9
22/10/2018,KH,Blast!,ios,Organic,4
21/10/2018,HN,Blast!,ios,Ad Network 1,15
20/10/2018,TW,Blast!,android,Organic,36
20/10/2018,NL,Screwed,ios,Organic,46
20/10/2018,ES,Bally Ball,ios,Organic,3
18/10/2018,LA,Blast!,ios,Ad Network 1,9
22/10/2018,IE,Blast!,ios,Organic,3
19/10/2018,HK,Screwed,android,Organic,1
19/10/2018,LV,Blast!,android,Organic,5
19/10/2018,GE,Blast!,android,Organic,9
22/10/2018,RO,T-Rex,android,Organic,3
21/10/2018,JO,Blast!,ios,Ad Network 3,1
18/10/2018,IQ,T-Rex,ios,Organic,4
20/10/2018,BN,T-Rex,android,Organic,1
20/10/2018,AM,Blast!,ios,Ad Network 1,31
17/10/2018,FI,Carz,ios,Ad Network 1,2
20/10/2018,LK,T-Rex,ios,Organic,2
22/10/2018,US,T-Rex,ios,Ad Network 6,635
20/10/2018,NG,Blast!,ios,Ad Network 1,4
20/10/2018,HN,Blast!,ios,Organic,6
16/10/2018,MM,Blast!,ios,Ad Network 1,13
21/10/2018,HN,Bally Ball,ios,Organic,1
21/10/2018,ME,Blast!,ios,Ad Network 1,4
22/10/2018,IR,T-Rex,android,Organic,9
16/10/2018,NZ,Blast!,ios,Ad Network 1,9
19/10/2018,NL,Blast!,android,Organic,29
16/10/2018,FR,Bally Ball,ios,Organic,4
18/10/2018,FI,Blast!,ios,Organic,9
17/10/2018,IR,T-Rex,ios,Ad Network 3,1
22/10/2018,GB,Carz,android,Organic,6
19/10/2018,IQ,T-Rex,ios,Organic,2
18/10/2018,LT,Blast!,android,Organic,3
19/10/2018,NZ,Blast!,android,Organic,1
17/10/2018,US,Bally Ball,ios,Organic,2732
22/10/2018,MM,Blast!,android,Organic,2
19/10/2018,LK,Blast!,ios,Organic,3
19/10/2018,DK,Bally Ball,ios,Organic,1
21/10/2018,NE,Blast!,ios,Ad Network 1,1
16/10/2018,KZ,Blast!,android,Organic,12
19/10/2018,EG,T-Rex,ios,Organic,2
21/10/2018,AT,Bally Ball,ios,Ad Network 1,1
19/10/2018,GP,Blast!,android,Organic,2
19/10/2018,GD,Blast!,ios,Ad Network 1,2
17/10/2018,SA,Blast!,ios,Organic,81
21/10/2018,LU,Blast!,ios,Organic,3
21/10/2018,SG,Carz,ios,Ad Network 1,1
19/10/2018,AD,Carz,ios,Ad Network 1,1
16/10/2018,MD,Blast!,android,Organic,3
17/10/2018,GB,Carz,android,Organic,5
17/10/2018,BH,Blast!,android,Organic,2
20/10/2018,IQ,Carz,ios,Organic,2
18/10/2018,BB,Blast!,ios,Organic,1
19/10/2018,KZ,Blast!,ios,Ad Network 1,59
16/10/2018,UG,Blast!,android,Organic,1
22/10/2018,IR,Carz,ios,Ad Network 1,2
21/10/2018,TJ,Blast!,ios,Ad Network 1,1
17/10/2018,VN,Carz,android,Organic,49
16/10/2018,SG,T-Rex,ios,Organic,1
18/10/2018,GB,Carz,android,Organic,6
16/10/2018,HR,Blast!,ios,Organic,4
21/10/2018,AF,Blast!,ios,Organic,1
18/10/2018,CA,Blast!,android,Organic,29
19/10/2018,PR,T-Rex,ios,Ad Network 5,1
22/10/2018,un,T-Rex,ios,Organic,1
16/10/2018,IN,Blast!,android,Organic,85
18/10/2018,IN,Blast!,ios,Ad Network 1,161
19/10/2018,NL,Blast!,ios,Ad Network 2,1
16/10/2018,ME,Blast!,ios,Ad Network 1,11
20/10/2018,SN,Blast!,ios,Organic,1
22/10/2018,RS,Blast!,android,Organic,7
19/10/2018,ZA,Blast!,ios,Organic,16
19/10/2018,SE,Blast!,ios,Organic,70
17/10/2018,OM,T-Rex,ios,Organic,1
20/10/2018,PL,Blast!,ios,Ad Network 1,88
21/10/2018,BN,Blast!,ios,Ad Network 1,3
16/10/2018,BN,Blast!,ios,Ad Network 1,3
21/10/2018,MN,T-Rex,ios,Organic,1
22/10/2018,JM,Blast!,ios,Organic,2
20/10/2018,GH,Blast!,ios,Ad Network 1,3
21/10/2018,EG,Blast!,android,Organic,19
19/10/2018,NA,Blast!,ios,Organic,1
17/10/2018,FI,Bally Ball,ios,Organic,1
21/10/2018,VN,T-Rex,ios,Organic,4
20/10/2018,FI,Blast!,android,Organic,1
18/10/2018,CA,Blast!,ios,Ad Network 1,78
19/10/2018,LT,Blast!,android,Organic,4
22/10/2018,TH,Blast!,ios,Ad Network 1,203
16/10/2018,IN,Carz,android,Ad Network 1,2
21/10/2018,KZ,Bally Ball,ios,Organic,1
18/10/2018,AZ,Blast!,ios,Organic,4
19/10/2018,ZM,Blast!,ios,Ad Network 1,2
16/10/2018,GB,Carz,android,Organic,9
19/10/2018,AU,Blast!,ios,Organic,114
18/10/2018,US,Carz,android,Organic,90
17/10/2018,PH,Blast!,ios,Organic,97
22/10/2018,IQ,T-Rex,ios,Organic,3
22/10/2018,NC,Blast!,ios,Organic,2
19/10/2018,BH,Blast!,ios,Organic,8
21/10/2018,CL,Blast!,ios,Organic,37
19/10/2018,DZ,Blast!,ios,Organic,5
22/10/2018,PR,Blast!,ios,Ad Network 6,1
18/10/2018,CA,T-Rex,ios,Organic,91
20/10/2018,PK,Blast!,ios,Organic,6
20/10/2018,BE,Blast!,android,Organic,17
19/10/2018,MN,Blast!,ios,Ad Network 1,49
20/10/2018,LY,Blast!,ios,Organic,2
18/10/2018,QA,Blast!,ios,Organic,10
